"position","game_title","score"
"1","The Legend of Zelda: Ocarina of Time","100"
"2","Tony Hawk's Pro Skater 2","99"
"3","Grand Theft Auto IV","98"
"4","SoulCalibur","97"
"5","Super Mario Galaxy","96"
"6","Super Mario Galaxy 2","95"
"7","Red Dead Redemption 2","94"
"8","Grand Theft Auto V","93"
"9","The Legend of Zelda: Breath of the Wild","92"
"10","Tony Hawk's Pro Skater 3","91"
"11","Perfect Dark","90"
"12","Metroid Prime","89"
"13","Grand Theft Auto III","88"
"14","Super Mario Odyssey","87"
"15","Halo: Combat Evolved","86"
"16","NFL 2K1","85"
"17","Half-Life 2","84"
"18","BioShock","83"
"19","GoldenEye 007","82"
"20","Uncharted 2: Among Thieves","81"
"21","Resident Evil 4","80"
"22","The Orange Box","79"
"23","Batman: Arkham City","78"
"24","Tekken 3","77"
"25","Mass Effect 2","76"
"26","The Legend of Zelda: Twilight Princess","75"
"27","The Elder Scrolls V: Skyrim","74"
"28","Half-Life","73"
"29","The Legend of Zelda: The Wind Waker","72"
"30","Gran Turismo","71"
"31","Metal Gear Solid 2: Sons of Liberty","70"
"32","Grand Theft Auto Double Pack","69"
"33","Baldur's Gate II: Shadows of Amn","68"
"34","Grand Theft Auto: San Andreas","67"
"35","Grand Theft Auto: Vice City","66"
"36","LittleBigPlanet","65"
"37","The Legend of Zelda Collector's Edition","64"
"38","Red Dead Redemption","63"
"39","Gran Turismo 3: A-Spec","62"
"40","Halo 2","61"
"41","The Legend of Zelda: A Link to the Past","60"
"42","The Legend of Zelda: Majora's Mask","59"
"43","The Last of Us","58"
"44","Madden NFL 2003","57"
"45","Persona 5 Royal","56"
"46","The Last of Us Remastered","55"
"47","Portal 2","54"
"48","Metal Gear Solid V: The Phantom Pain","53"
"49","World of Goo","52"
"50","BioShock Infinite","51"
"51","Final Fantasy IX","50"
"52","Call of Duty: Modern Warfare 2","49"
"53","God of War","48"
"54","Tony Hawk's Pro Skater 4","47"
"55","Devil May Cry","46"
"56","Call of Duty 4: Modern Warfare","45"
"57","Madden NFL 2002","44"
"58","The Legend of Zelda: Ocarina of Time 3D","43"
"59","Chrono Cross","42"
"60","Celeste","41"
"61","Madden NFL 2004","40"
"62","Gears of War","39"
"63","The Elder Scrolls IV: Oblivion","38"
"64","Sid Meier's Civilization II","37"
"65","Quake","36"
"66","Halo 3","35"
"67","Ninja Gaiden Black","34"
"68","Street Fighter IV","33"
"69","Super Mario Advance 4: Super Mario Bros. 3","32"
"70","Jet Grind Radio","31"
"71","Metal Gear Solid","30"
"72","Grim Fandango","29"
"73","Tom Clancy's Splinter Cell Chaos Theory","28"
"74","Burnout 3: Takedown","27"
"75","Diablo","26"
